,0,1,2,3,4,5,6
320,79,69,69,69,79,69,79
321,77,69,77,69,69,69,69
322,88,88,88,85,85,88,88
323,70,73,88,73,70,88,70
324,85,85,70,85,85,85,70
325,80,80,70,88,88,70,80
326,80,73,73,80,70,73,80
327,78,85,80,70,78,85,80
328,85,86,73,73,86,70,70
329,88,88,78,71,88,78,80
330,80,70,80,70,70,70,80
331,70,70,88,88,74,74,88
332,88,88,80,80,78,88,88
333,70,88,85,70,88,70,70
334,85,78,70,70,70,78,78
335,70,70,70,70,77,70,70
336,78,88,78,88,88,88,70
337,70,88,70,88,77,70,77
338,77,77,70,70,77,77,70
339,70,73,70,70,70,80,70
340,80,80,70,70,70,70,80
341,77,70,70,77,70,77,77
342,85,77,85,70,77,70,70
343,73,83,83,73,83,73,87
344,80,70,70,70,70,70,70
345,70,77,70,80,70,80,77
346,70,78,70,80,78,80,80
347,71,71,80,80,71,71,77
348,78,80,88,78,78,80,78
349,73,88,73,73,88,73,88
350,85,71,88,85,71,85,73
351,71,83,83,71,71,71,71
352,84,70,84,70,70,70,70
353,73,83,87,87,71,73,73
354,71,71,86,77,77,77,71
355,74,71,71,87,88,87,87
356,88,80,80,88,88,80,80
357,48,80,80,80,48,48,80
358,74,88,73,73,73,74,70
359,88,70,70,88,70,88,88
360,70,79,70,70,79,70,79
361,78,78,88,88,78,70,88
362,84,73,77,73,73,77,77
363,68,68,73,68,68,68,73
364,77,68,68,77,68,77,77
365,80,80,68,80,68,80,80
366,68,68,68,80,80,68,68
367,68,68,68,68,77,68,68
368,69,69,69,77,77,69,77
369,77,69,77,77,69,77,69
370,80,80,88,80,80,80,80
371,69,80,86,80,80,86,69
372,77,77,77,77,68,68,77
373,74,74,68,87,68,68,74
374,73,73,73,73,76,76,73
375,68,80,68,68,80,68,80
376,77,67,77,67,67,77,77
377,76,76,76,76,76,67,76
378,67,67,67,80,67,80,80
379,83,83,68,68,83,68,68
380,67,87,73,67,73,67,67
381,77,67,67,86,67,86,86
382,80,67,80,77,80,80,80
383,76,67,67,76,77,67,77
384,67,67,77,67,77,77,67
385,73,67,67,74,67,77,73
386,77,66,66,77,77,77,66
387,66,66,66,80,66,80,66
388,77,77,77,77,73,77,73
389,74,67,74,76,67,76,76
390,77,77,77,66,66,77,66
391,77,73,66,73,73,73,77
392,80,80,66,66,66,66,66
393,66,77,77,66,66,66,77
394,86,77,85,77,85,67,67
395,66,66,77,77,66,77,77
396,78,67,78,78,83,83,67
397,73,66,73,73,66,73,66
398,66,74,66,87,74,73,66
399,73,77,66,74,73,73,66
400,67,67,77,67,77,77,77
401,77,77,68,68,77,68,77
402,88,77,86,77,63,86,77
403,80,73,62,80,78,74,78
404,76,13,75,75,76,13,75
405,69,74,69,74,69,85,69
406,83,83,69,69,69,69,88
407,77,69,77,77,77,77,77
408,69,77,88,88,69,75,88
409,77,77,77,80,80,80,80
410,69,77,77,69,77,69,77
411,69,69,81,77,87,81,77
412,69,69,69,69,77,69,77
413,83,83,69,69,83,69,83
414,77,77,77,77,55,55,55
415,76,77,76,76,76,76,90
416,76,76,80,76,30,80,76
417,34,76,80,34,80,76,80
418,84,84,23,75,84,84,23
419,76,77,37,37,77,37,84
420,75,84,76,24,84,84,75
421,69,80,86,69,69,69,86
422,69,69,77,77,69,77,77
423,87,76,81,76,87,81,55
424,83,83,83,69,69,83,69
425,77,77,65,65,77,77,65
426,73,73,88,75,76,76,75
427,80,35,35,35,80,35,80
428,77,44,77,44,44,44,77
429,87,80,24,87,80,87,87
430,89,89,89,77,77,6,77
431,74,59,73,59,73,59,74
432,84,13,76,76,84,75,75
433,77,62,77,62,62,77,62
434,87,87,87,29,87,29,29
435,77,77,73,77,77,42,77
436,83,83,54,83,54,83,54
437,65,83,65,83,65,83,65
438,83,83,83,56,56,56,56
439,66,83,83,66,66,83,83
440,55,55,83,83,55,83,83
441,52,52,52,83,52,83,83
442,83,63,63,83,83,83,83
443,83,83,36,36,83,36,36
444,83,87,87,31,31,83,87
445,83,18,83,18,18,18,83
446,83,83,49,49,49,83,83
447,83,49,83,49,49,83,83
448,49,49,83,49,83,83,49
449,87,87,87,74,87,73,52
450,62,87,87,74,74,87,74
451,84,51,86,51,86,51,86
452,51,83,83,83,83,51,51
453,56,83,73,83,83,56,73
454,69,80,80,69,80,80,80
455,70,70,73,70,70,73,70
456,70,70,77,70,77,73,70
457,76,74,80,80,80,76,80
458,68,68,68,68,80,68,68
459,68,80,68,68,68,68,80
460,80,80,68,68,80,68,80
461,80,68,80,80,80,80,68
462,80,80,86,86,80,80,86
463,67,74,67,74,67,74,74
464,80,80,80,67,80,80,67
465,86,86,74,86,86,67,86
466,65,65,65,65,88,65,65
467,80,80,66,80,66,66,80
468,80,66,80,80,80,80,80
469,66,80,80,66,80,66,80
470,66,90,66,66,66,66,66
471,89,69,80,69,89,69,69
472,69,81,69,69,74,81,81
473,75,76,69,84,76,69,69
474,87,36,36,36,89,89,87
475,80,69,69,69,80,80,69
476,77,69,69,77,77,69,77
477,76,69,69,69,76,77,69
478,86,86,77,86,77,77,13
479,88,85,85,31,88,85,31
480,77,88,32,77,32,77,77
481,33,80,80,80,77,80,33
482,32,78,77,78,77,77,78
483,86,15,89,89,86,80,86
484,85,14,85,85,85,85,14
485,37,37,37,84,37,37,86
486,77,27,86,27,27,86,27
487,77,77,77,77,86,77,26
488,23,23,82,23,82,23,23
489,19,86,19,88,82,86,19
490,77,77,28,28,28,88,86
491,74,74,73,74,73,73,74
492,28,80,80,28,80,28,28
493,7,85,7,85,7,85,85
494,77,13,77,77,13,77,77
495,77,29,29,74,74,29,74
496,80,80,19,80,80,19,80
497,77,77,77,11,77,77,77
498,24,73,89,74,89,73,73
499,80,31,80,31,31,80,80
500,74,69,76,69,69,69,76
501,75,75,14,76,84,76,76
502,89,89,77,89,77,77,44
503,80,45,45,45,45,45,80
504,80,80,40,40,80,40,80
505,88,88,88,27,27,88,85
506,80,80,28,80,80,28,80
507,80,80,24,24,80,24,24
508,69,80,69,80,69,69,69
509,80,80,62,62,62,80,80
510,90,73,27,73,73,90,73
511,35,74,35,74,35,89,35
512,86,86,77,80,80,77,80
513,22,85,22,22,22,22,85
514,77,50,86,86,86,77,50
515,89,70,80,89,70,73,73
516,56,56,77,77,56,56,77
517,77,52,80,80,80,77,80
518,80,80,63,80,80,80,63
519,74,74,74,74,21,21,21
520,89,89,89,89,74,74,74
521,51,89,89,80,89,89,51
522,59,77,80,77,59,59,59
523,40,80,80,80,77,80,40
524,77,77,13,13,13,13,13
525,82,19,82,19,85,19,19
526,73,73,80,32,32,80,73
527,80,80,55,80,55,55,55
528,80,89,57,57,89,80,89
529,58,80,80,58,80,80,58
530,74,74,74,74,74,48,74
531,80,69,86,69,80,80,86
532,70,70,86,86,86,86,86
533,70,85,70,85,70,85,70
534,70,80,80,80,70,80,70
535,86,86,70,70,70,77,86
536,80,80,70,80,70,80,80
537,64,64,64,80,64,64,64
538,75,75,84,76,76,70,84
539,76,70,77,76,77,76,70
540,73,68,68,73,68,73,73
541,74,74,68,68,68,73,74
542,68,84,68,84,86,84,75
543,84,84,80,68,80,84,80
544,69,69,69,86,80,86,80
545,86,86,86,68,77,77,86
546,69,88,69,69,69,69,73
547,69,78,78,69,69,69,78
548,69,81,69,76,76,76,81
549,68,80,80,68,80,68,89
550,73,88,88,68,73,88,88
551,68,83,68,83,83,68,68
552,68,68,68,68,68,68,68
553,86,68,68,80,86,68,80
554,74,68,74,68,74,68,68
555,80,68,68,80,68,68,80
556,90,68,90,90,68,90,90
557,67,67,67,67,84,84,80
558,80,81,67,80,81,88,80
559,80,83,67,67,80,80,83
560,74,87,77,86,68,81,74
561,80,80,83,80,67,67,67
562,74,74,90,90,73,90,68
563,83,68,68,83,68,68,68
564,68,83,77,83,77,77,83
565,88,68,88,88,83,83,83
566,73,74,88,74,73,73,73
567,83,67,83,83,83,67,83
568,86,88,67,86,88,86,88
569,67,67,83,80,83,83,67
570,90,90,90,67,67,90,67
571,66,88,66,66,77,88,77
572,73,73,73,88,73,73,73
573,88,83,88,88,66,66,88
574,88,88,86,85,85,66,66
575,90,90,67,77,90,77,90
576,74,78,78,73,78,74,74
577,77,77,66,66,77,66,87
578,87,87,73,87,73,87,66
579,77,66,77,66,66,66,66
580,86,77,86,77,68,68,86
581,88,80,88,80,80,88,66
582,66,66,66,80,86,66,66
583,66,78,78,88,78,88,66
584,80,66,66,80,76,76,76
585,77,77,66,66,66,66,66
586,67,67,67,67,73,73,73
587,80,85,80,85,80,66,80
588,84,64,84,76,76,75,84
589,90,42,42,90,42,90,90
590,87,73,73,87,83,69,73
591,88,69,88,80,88,80,80
592,88,68,68,88,88,68,88
593,89,66,89,66,89,89,66
594,86,86,80,69,86,86,86
595,88,88,88,69,69,88,88
596,76,69,84,75,75,69,76
597,69,69,69,69,73,69,69
598,80,77,69,77,80,80,77
599,73,69,73,73,73,69,73
600,76,76,69,76,76,69,69
601,74,74,74,16,16,74,74
602,84,86,84,24,84,86,24
603,88,27,27,85,27,88,88
604,7,7,7,7,7,7,7
605,17,84,84,84,84,17,17
606,23,23,80,80,23,80,80
607,13,88,86,88,88,88,13
608,18,18,18,18,18,86,86
609,77,23,77,23,23,23,77
610,84,84,31,31,31,31,31
611,78,85,17,85,17,85,17
612,80,80,10,10,10,80,80
613,9,9,77,9,9,77,9
614,29,29,29,29,80,29,29
615,88,88,88,88,88,8,88
616,83,41,41,87,87,83,83
617,3,80,3,80,80,3,3
618,28,28,28,80,80,28,28
619,69,80,69,88,88,88,88
620,80,69,69,80,69,69,69
621,90,28,90,28,28,90,90
622,33,74,33,76,76,33,33
623,76,67,67,76,67,76,76
624,76,75,84,18,84,18,84
625,75,76,76,75,76,76,75
626,22,76,76,22,22,80,80
627,64,80,80,64,80,64,80
628,78,78,69,69,78,80,78
629,77,77,55,77,55,55,84
630,38,77,77,84,77,77,38
631,73,86,65,73,73,89,73
632,55,55,55,55,80,80,55
633,11,11,80,80,11,11,80
634,79,79,79,79,69,79,79
635,83,53,53,83,83,83,83
636,74,87,73,74,73,88,88
637,54,83,77,77,83,54,83
638,55,80,55,55,55,80,55
639,80,80,52,80,80,80,52
640,80,62,80,80,80,80,80
641,80,30,89,80,30,89,89
642,82,63,82,63,63,63,82
643,86,86,86,86,67,80,80
644,61,79,61,61,61,61,79
645,79,63,79,79,79,63,63
646,42,42,42,42,90,42,42
647,89,89,89,89,89,58,80
648,86,77,86,25,77,25,86
649,88,78,57,78,88,88,88
650,30,80,30,30,30,30,80
651,80,80,73,62,73,62,80
652,77,63,77,77,63,77,63
653,88,88,82,31,31,82,82
654,85,88,47,82,85,88,88
655,59,80,74,59,59,77,80
656,88,82,82,82,78,4,4
657,88,35,35,35,82,82,35
658,63,63,80,63,80,80,80
659,85,88,88,88,85,88,17
660,80,80,80,64,80,80,80
661,25,25,90,90,90,25,25
662,80,53,53,86,86,86,86
663,77,77,52,77,77,77,77
664,80,57,80,57,80,57,57
665,83,87,87,73,83,83,87
666,83,47,83,47,83,83,47
667,83,83,83,83,83,83,50
668,83,73,83,54,54,54,73
669,83,64,64,64,83,83,64
670,88,66,83,83,88,88,88
671,8,83,83,8,8,83,8
672,83,65,65,65,83,83,83
673,88,82,82,88,82,35,35
674,83,55,55,55,55,55,83
675,83,83,83,1,83,83,83
676,69,69,69,80,69,69,69
677,79,70,70,79,79,79,70
678,80,70,80,70,70,80,88
679,54,74,73,54,74,54,73
680,73,73,70,73,70,70,74
681,70,70,70,70,83,70,83
682,85,83,85,88,88,85,85
683,70,70,70,77,70,77,77
684,73,66,88,88,66,66,88
685,73,69,88,73,69,73,69
686,66,73,80,73,66,80,73
687,70,77,70,77,77,70,70
688,77,70,77,77,77,77,77
689,73,70,88,70,70,88,70
690,70,89,89,89,70,80,80
691,87,88,87,82,87,88,87
692,68,80,86,77,68,86,86
693,80,80,80,80,68,80,68
694,68,68,68,86,86,68,68
695,77,68,80,68,68,68,77
696,69,88,88,69,88,69,80
697,68,80,80,68,68,68,68
698,67,67,80,80,67,80,80
699,67,80,67,80,80,80,80
700,68,68,77,68,68,68,77
701,66,66,79,66,79,66,66
702,67,67,67,77,67,67,86
703,80,80,80,67,80,67,67
704,66,80,86,86,80,66,86
705,86,86,84,86,25,84,86
706,83,83,83,69,83,69,69
707,64,80,80,80,80,64,80
708,80,80,62,80,80,62,62
709,65,77,86,65,77,65,65
710,77,58,58,58,58,77,77
711,80,69,69,69,80,80,69
712,80,80,77,77,77,60,60
713,80,68,80,68,80,68,80
714,80,68,86,86,86,68,86
715,80,68,68,68,80,77,80
716,86,86,86,68,80,80,68
717,69,69,88,80,80,69,80
718,77,69,69,77,69,69,77
719,67,77,77,77,77,77,77
720,86,74,74,68,86,73,73
721,77,68,77,68,68,77,77
722,68,68,68,77,77,77,68
723,77,68,68,80,68,68,80
724,80,80,80,68,80,68,80
725,77,77,77,67,77,67,67
726,68,80,68,80,68,76,76
727,86,86,86,67,86,67,86
728,87,67,87,77,77,67,67
729,80,80,67,67,80,67,80
730,69,86,80,86,80,69,69
731,67,67,67,67,80,77,77
732,77,77,77,86,86,66,77
733,80,86,67,67,80,86,86
734,66,77,66,66,66,66,66
735,66,80,66,80,80,66,66
736,66,80,86,80,86,86,80
737,77,80,67,80,67,67,77
738,77,67,67,77,77,77,86
739,63,77,77,63,86,86,63
740,86,86,80,80,69,80,69
741,80,88,80,80,88,88,80
742,69,69,69,69,88,69,88
743,88,88,88,69,69,69,73
744,69,80,89,69,89,69,80
745,45,77,45,77,77,77,45
746,58,58,77,77,58,58,58
747,86,66,86,86,86,66,86
748,86,88,73,88,88,86,73
749,86,77,86,86,77,70,70
750,80,70,80,80,80,80,80
751,73,70,73,73,86,86,88
752,73,71,71,71,71,88,71
753,67,80,67,67,80,67,80
754,88,70,78,70,78,88,88
755,74,87,81,74,87,74,73
756,77,77,77,68,77,68,77
757,68,79,79,79,79,68,79
758,69,88,88,88,69,87,87
759,73,73,68,73,68,68,68
760,68,87,68,87,68,68,87
761,73,88,68,73,88,88,88
762,69,80,69,80,69,80,69
763,69,69,69,77,77,69,77
764,69,86,77,77,69,69,77
765,65,65,65,77,65,65,65
766,79,69,69,69,79,79,69
767,68,83,83,68,68,68,83
768,74,74,68,68,76,68,76
769,74,68,87,68,87,74,68
770,88,88,85,78,82,82,78
771,88,88,88,88,68,88,88
772,80,80,80,68,80,80,80
773,88,88,88,88,67,88,88
774,83,68,68,68,68,83,83
775,68,86,77,77,86,68,86
776,68,68,68,68,68,68,68
777,68,68,68,83,68,83,68
778,80,86,68,77,77,86,68
779,73,67,67,73,73,73,67
780,67,77,67,77,77,77,67
781,68,68,77,77,68,77,86
782,80,80,80,67,80,67,67
783,67,77,77,67,67,86,67
784,66,83,80,80,80,80,66
785,67,67,67,86,86,77,86
786,77,77,77,77,86,68,68
787,80,77,80,80,77,77,80
788,88,67,67,67,67,83,83
789,77,68,77,77,77,80,80
790,77,68,77,77,77,68,77
791,76,76,76,68,76,76,76
792,77,67,67,67,77,67,77
793,77,77,77,77,77,77,77
794,67,67,86,67,67,67,67
795,67,76,67,67,77,67,77
796,86,86,86,86,67,86,86
797,73,73,73,67,67,73,73
798,73,68,68,73,73,73,68
799,80,68,68,80,80,80,80
800,68,83,83,88,83,83,68
801,77,67,77,67,77,67,67
802,66,66,78,88,73,66,66
803,80,73,89,80,73,89,73
804,77,67,67,67,67,67,77
805,85,77,66,85,77,77,85
806,80,66,66,73,66,73,66
807,80,66,66,80,66,66,66
808,73,73,66,66,66,66,73
809,80,73,85,80,80,66,80
810,73,73,67,67,67,73,67
811,79,79,66,79,79,79,66
812,76,74,67,67,67,76,67
813,79,79,79,79,69,79,69
814,67,79,67,67,79,79,67
815,69,80,80,80,86,69,80
816,68,83,83,83,83,68,68
817,80,80,80,80,69,69,69
818,69,77,69,69,77,77,77
819,69,69,77,77,69,77,77
820,77,69,81,69,81,81,69
821,86,77,69,86,86,86,69
822,41,80,80,41,41,41,41
823,82,82,82,88,82,78,69
824,77,77,77,69,69,77,69
825,69,88,87,69,69,73,88
826,69,74,69,69,69,69,69
827,73,73,74,74,74,74,73
828,76,69,76,74,69,74,69
829,69,69,69,74,73,74,69
830,88,69,73,73,88,69,69
831,73,88,88,69,69,74,88
832,69,80,69,81,69,81,76
833,73,69,73,69,73,73,69
834,83,83,88,83,83,68,88
835,7,7,84,84,7,86,7
836,12,12,12,77,77,86,77
837,80,80,14,14,80,14,14
838,69,69,73,73,73,73,73
839,83,68,88,68,68,68,83
840,90,90,73,80,80,90,73
841,69,88,69,69,69,73,73
842,80,76,77,76,76,77,76
843,32,76,32,77,32,76,32
844,78,78,69,78,69,69,78
845,77,69,77,77,77,77,69
846,69,69,80,69,69,69,80
847,79,69,79,69,80,69,80
848,17,82,17,82,88,17,82
849,73,63,63,86,63,86,73
850,69,79,69,79,69,69,79
851,39,80,39,39,39,39,80
852,80,80,80,80,88,88,80
853,65,65,77,65,83,65,83
854,77,83,83,83,60,83,77
855,88,54,85,86,88,86,86
856,64,77,77,77,64,80,77
857,79,79,79,69,79,69,69
858,69,83,83,69,69,83,83
859,83,83,59,83,59,77,77
860,88,88,60,88,60,88,88
861,59,59,59,59,59,59,83
862,76,77,74,74,74,76,76
863,80,69,69,80,69,80,80
864,77,77,69,77,69,77,69
865,80,80,80,70,70,70,80
866,69,77,86,77,86,86,69
867,69,69,69,69,80,69,69
868,70,80,70,80,80,70,70
869,70,70,77,77,86,77,77
870,86,70,70,86,70,70,70
871,77,77,70,77,77,77,70
872,70,86,70,86,86,70,70
873,70,77,70,77,86,77,70
